product_name,subCategory_name,subCategory_url
Amplifiers and Comparators,Automotive Comparators,https://www.st.com/en/amplifiers-and-comparators/automotive-comparators.html
Amplifiers and Comparators,High-Speed Comparators,https://www.st.com/en/amplifiers-and-comparators/high-speed-comparators.html
Amplifiers and Comparators,Low Power Comparators,https://www.st.com/en/amplifiers-and-comparators/low-power-comparators.html
Amplifiers and Comparators,Standard Comparators,https://www.st.com/en/amplifiers-and-comparators/standard-comparators.html
Amplifiers and Comparators,Automotive Op Amps,https://www.st.com/en/amplifiers-and-comparators/automotive-op-amps.html
Amplifiers and Comparators,High-Speed Op Amps (>50 MHz),https://www.st.com/en/amplifiers-and-comparators/high-speed-op-amps-gt50-mhz.html
Amplifiers and Comparators,Precision Op Amps (<50 MHz),https://www.st.com/en/amplifiers-and-comparators/precision-op-amps-lt50-mhz.html
Amplifiers and Comparators,Standard Op Amps,https://www.st.com/en/amplifiers-and-comparators/standard-op-amps.html
Audio ICs,Class-AB Audio Power Amplifiers,https://www.st.com/en/audio-ics/class-ab-audio-power-amplifiers.html
Audio ICs,Class-D Audio Power Amplifiers,https://www.st.com/en/audio-ics/class-d-audio-power-amplifiers.html
Audio ICs,Digital Audio Power Amplifiers,https://www.st.com/en/audio-ics/digital-audio-power-amplifiers.html
Audio ICs,Headphone and Low Power Amplifiers,https://www.st.com/en/audio-ics/headphone-and-low-power-amplifiers.html
Audio ICs,Analog Audio Processor ICs,https://www.st.com/en/audio-ics/analog-audio-processor-ics.html
Audio ICs,Audio Codecs and Decoders,https://www.st.com/en/audio-ics/audio-codecs-and-decoders.html
Audio ICs,Digital Audio Processors and Drivers,https://www.st.com/en/audio-ics/digital-audio-processors-and-drivers.html
Automotive Analog and Power,Automotive Op Amps,https://www.st.com/en/amplifiers-and-comparators/automotive-op-amps.html
Automotive Analog and Power,Automotive Bridge Rectifier Diodes,https://www.st.com/en/automotive-analog-and-power/automotive-bridge-rectifier-diodes.html
Automotive Analog and Power,Automotive IGBTs,https://www.st.com/en/automotive-analog-and-power/automotive-igbts.html
Automotive Analog and Power,Automotive Power MOSFETs,https://www.st.com/en/automotive-analog-and-power/automotive-power-mosfets.html
Automotive Analog and Power,Automotive Power Schottky Diodes,https://www.st.com/en/automotive-analog-and-power/automotive-power-schottky-diodes.html
Automotive Analog and Power,Automotive Protection and Filtering,https://www.st.com/en/automotive-analog-and-power/automotive-protection-and-filtering.html
Automotive Analog and Power,Automotive SiC Diodes,https://www.st.com/en/automotive-analog-and-power/automotive-sic-diodes.html
Automotive Analog and Power,Automotive SiC MOSFETs,https://www.st.com/en/automotive-analog-and-power/automotive-sic-mosfets.html
Automotive Analog and Power,Automotive Thyristors (SCRs),https://www.st.com/en/automotive-analog-and-power/automotive-thyristors-scrs.html
Automotive Analog and Power,Automotive Ultrafast Diodes,https://www.st.com/en/automotive-analog-and-power/automotive-ultrafast-diodes.html
Automotive Analog and Power,Airbag ICs,https://www.st.com/en/automotive-analog-and-power/airbag-ics.html
Automotive Analog and Power,Braking ICs,https://www.st.com/en/automotive-analog-and-power/braking-ics.html
Automotive Analog and Power,Steering ICs,https://www.st.com/en/automotive-analog-and-power/steering-ics.html
Automotive Analog and Power,Configurable Low/High Side Switches,https://www.st.com/en/automotive-analog-and-power/configurable-low-high-side-switches.html
Automotive Analog and Power,High Side Switches,https://www.st.com/en/automotive-analog-and-power/high-side-switches.html
Automotive Analog and Power,High Side Switches for 24V Board Net,https://www.st.com/en/automotive-analog-and-power/high-side-switches-for-24v-board-net.html
Automotive Analog and Power,High Side Switches with SPI and Asymmetrical Outputs,https://www.st.com/en/automotive-analog-and-power/high-side-switches-with-spi-and-asymmetrical-outputs.html
Automotive Analog and Power,Low Side Switches,https://www.st.com/en/automotive-analog-and-power/low-side-switches.html
Automotive Analog and Power,Smart switches for wire harness protection,https://www.st.com/en/automotive-analog-and-power/smart-switches-for-wire-harness-protection.html
Automotive Analog and Power,Alternator Regulators,https://www.st.com/en/automotive-analog-and-power/alternator-regulators.html
Automotive Analog and Power,Automotive Battery Management ICs,https://www.st.com/en/automotive-analog-and-power/automotive-battery-management-ics.html
Automotive Analog and Power,Engine Management,https://www.st.com/en/automotive-analog-and-power/engine-management.html
